,Teams,Threat av,Matches,Threat GW29,Threat GW28,Threat GW27,Threat GW26,Threat GW25,Threat GW24*,Threat GW24,Threat GW23,Threat GW22,Threat GW21,Threat GW20,Threat GW19,Threat GW18,Threat GW17,Threat GW16,Threat GW15,Threat GW14,Threat GW13,Threat GW12,Threat GW11,Threat GW10,Threat GW9,Threat GW8,Threat GW7,Threat GW6,Threat GW5,Threat GW4,Threat GW3,Threat GW2,Threat GW1,Threat GW29 6 - average,Threat GW28 6 - average,Threat GW27 6 - average,Threat GW26 6 - average,Threat GW25 6 - average,Threat GW24* 6 - average,Threat GW24 6 - average,Threat GW23 6 - average,Threat GW22 6 - average,Threat GW21 6 - average,Threat GW20 6 - average,Threat GW19 6 - average,Threat GW18 6 - average,Threat GW17 6 - average,Threat GW16 6 - average,Threat GW15 6 - average,Threat GW14 6 - average,Threat GW13 6 - average,Threat GW12 6 - average,Threat GW11 6 - average,Threat GW10 6 - average,Threat GW9 6 - average,Threat GW8 6 - average,Threat GW7 6 - average,Threat GW6 6 - average
1,Man City,263.7255270898874,28,60.37690564990044,,242.74900779128075,220.70541251450777,326.0047343559563,,287.30023484677076,247.9722943156958,379.4244086369872,179.75698839873078,108.62805414944887,198.16532284021375,359.13870483636856,169.55349557101727,207.92120695114136,256.21443428099155,248.49872589111328,124.24111478030682,148.37708109989762,336.64131984114647,325.1281149685383,402.2366635501385,161.88429202884436,310.820309817791,663.8958435505629,234.53390412032604,230.81780709326267,313.68473079055553,321.2668063119054,318.37683953344816,230.85143157901862,284.02601541019976,284.02601541019976,273.5273455114414,254.8477857839316,233.54121719797453,233.54121719797453,245.51429552957416,232.44449573879442,203.86062879115343,216.6035364381969,239.91531506180763,227.5946137184898,192.46767642907798,220.31564714076617,239.85013181033233,264.18717002185684,249.751431044812,280.84796355105937,366.7677572928369,349.74985467270017,334.0314700268209,319.2728145668904,345.83656694740057,347.0959885666768
2,Liverpool,213.48706802417493,29,189.45327457040548,20.603114739060402,252.19033230096102,213.6745821684599,386.74177695065737,259.9910791963339,160.71826294064522,200.65498910844326,174.56401586532593,346.94423601031303,149.1243228316307,376.9733399152756,,162.06605285406113,307.2398578748107,241.58452786505222,138.88749657198787,171.06094323098662,133.18952806293964,240.2513239532709,219.08991746604443,103.21159679442644,374.8671719804406,197.07900192588568,103.0030645430088,293.2813139632344,120.05730429664254,278.8210816681385,152.1897204220295,223.61174263060093,220.44235998764634,215.6531913826863,245.66183711091676,232.7241177049776,254.93572667861977,215.332817658782,234.82986111193895,235.05449276417494,252.81863755856952,263.9887228918572,229.31259965213636,232.968703052029,192.33806774330637,192.33806774330637,205.36894625984132,190.67728952504694,167.61513434660932,206.94508024801812,211.28142336383462,206.25034611051282,215.08867777884007,198.58324225060642,227.85148972955844,190.7385811364899,195.16070458727577
3,Chelsea,194.7832566429058,29,202.88302600383759,204.06293282285333,184.5388650894165,94.02043353766203,80.69949224591255,,338.6117972433567,205.4356697946787,289.66064332053065,167.19650775194168,149.66558469459414,85.99730134010315,149.37439151108265,203.30155473202467,126.16577446460724,197.94085510075092,274.19731449335814,82.04742856323719,335.78728325664997,219.13464404642582,98.83210025727749,231.95886705070734,215.20109586417675,428.2770451158285,123.32131387665868,306.79915146902204,230.57949636131525,190.5989270657301,122.62931521981955,109.79563035070896,184.13609115717313,184.56153178897998,198.8278168719262,195.93742398234704,205.21161584183574,206.09458402420083,206.09458402420083,174.55501640215516,174.1993305583795,146.95018574905893,152.07424364052713,172.82953194032112,172.17121981084347,203.24003510177135,205.8788833208382,201.3232709529499,206.992939611276,197.16023650641242,254.86517259851098,219.45417770184577,234.06492893894514,256.0228282896181,249.12950495878854,233.7008748513957,180.6206390572091
4,Man Utd,169.75405921774177,29,173.89012668281794,120.03068309277296,250.4419439472258,68.18140558898449,119.16300430893898,,141.65994841605425,142.0550087466836,313.4555898606777,71.55629880726337,213.38779740035534,199.6384732425213,153.18260453641415,148.56472313404083,163.38520869612694,147.68314762040973,184.80411283671856,133.064841106534,365.2989748865366,64.11288864910603,451.2320600450039,79.18619886040688,97.25687317550182,113.40067945420742,127.8264096006751,110.3555291891098,190.35579729825258,227.9232014901936,114.33172300457954,237.44246363639832,145.56118533946574,140.25533235011002,172.49281681142747,142.67854262143373,166.87960792332888,180.29218607892594,180.29218607892594,182.21262876565257,183.29758116354546,158.28585096945366,170.97365910497805,166.20971167770526,155.11410632170737,190.46683471339443,176.3915289659053,224.36600419071814,212.949846064051,198.3586394538482,195.08127917846045,155.50251829748353,163.20962505415082,119.73024792969227,144.51974836799005,147.36555667283633,168.03918736986816
5,Leicester,166.64986450803178,29,241.23922158032656,142.65376944094896,72.32685163617134,52.76366835460067,165.95584768801928,,303.14307920634747,238.3139556273818,78.01141496747732,265.20729400217533,262.7665925770998,12.09943424910307,101.38821918517351,106.50818543508649,410.3634737432003,228.73539365828037,228.47755383700132,350.91722775250673,137.05490697175264,98.11672419309616,441.18855968117714,83.42063743621111,9.821069054305553,182.43773989379406,128.79502307623625,45.91405764222145,225.44452138245106,70.48789169639349,94.91786099970341,54.37589576467872,163.01373965106905,162.52619532557824,151.75246957999966,183.89920997433364,218.89969734475017,193.25696177159747,193.25696177159747,159.63115176806846,137.6635234026859,193.05553319863975,186.97688314132392,181.2620433513075,237.7316756018748,243.67612356630465,242.2775466926396,247.41506101563573,223.1959349786242,186.75318751484156,158.6732728717228,157.2966255558034,148.59618113065758,112.63884141420324,110.4833837909003,124.66618244846661,103.32254176028073
6,Everton,162.79040182747974,29,44.59215998649597,244.69114625826478,272.7795569226146,283.38330537080765,296.230898052454,,205.25412652641535,195.4731710255146,202.53300424665213,86.45865079015493,287.94988729059696,147.52142801880836,48.65230955183506,27.908816561102867,204.1091039776802,176.45343150943518,124.9861938878894,81.26933397725224,210.42861081659794,115.53235072642565,104.92303110659122,229.8820946365595,133.667553961277,236.27034574747086,126.53036247938871,151.52766536921263,148.84179653599858,125.6678672041744,83.29132422804834,124.11212623119354,224.48853218617538,249.63536735934517,242.60901035740972,211.55552600199977,212.31662298863134,187.53171131635705,187.53171131635705,161.43140848726034,133.50401607652506,133.76669936502972,148.76582948490977,121.60521391779184,110.56319824419916,137.52591512165964,152.12983748254678,135.59882533736527,144.50360252521932,145.95049587078393,171.78399783248702,157.80095644295216,163.8001755500833,171.1199697883179,153.75093188292036,145.35489359404892,126.6618570080027
7,Wolves,156.6603849385062,29,90.86182229220867,269.1329397261143,369.81254406273365,114.49131136760116,154.21067979186773,,185.44207215309143,217.72044952958822,207.98816718161106,123.25241528451443,36.37643065303564,239.40498735755682,181.73485938459635,72.03825283795595,189.62498176842928,182.23749697208405,128.70385637506843,127.64991410076618,210.3806421160698,151.48660354316235,193.25524177402258,88.74950557947157,119.27186213433744,116.36286247521639,175.57239551097155,152.0583586767316,200.17250142991546,133.127551805228,30.7355972006917,81.2948601320386,197.3252282322695,218.46833277183273,208.27753734774888,167.184182551379,154.1650357656181,168.36408702656627,168.36408702656627,167.7462182318171,143.46585211654505,140.40532121434808,150.23616816227636,165.6240724492818,146.99822690648338,151.77252402839562,165.01391581259668,165.61895914686224,150.0376272480935,148.46562820797166,146.58445293704668,140.78307850286365,140.87837102512518,142.03124763444066,149.42758867206672,134.6715445164591,128.82687745926282
8,Southampton,146.1576771280118,29,34.88713949918747,87.00248040258884,302.92571503669024,69.40251998603344,71.62981610745192,,113.06013036519289,78.69741693139076,245.02307334914804,151.19242649525404,148.43387668952346,98.13211336731909,273.93958047032356,82.51237869262695,194.74571235477924,202.71853897720575,196.71000204980373,309.81037784367794,74.22811659052968,92.01774951070547,45.73337621986866,137.6953087747097,127.0442013628781,116.25578990206122,218.02082508802414,157.65888020396233,76.96160096675158,209.2407390475273,214.1408383846283,108.75191204249859,113.15130023285747,120.45301313822468,146.78977862931788,121.50089720574518,134.67278998966017,139.08983953297138,139.08983953297138,165.90308121715984,166.53890817736587,158.15934801163772,166.74703342529634,174.79305431867638,210.07276506473622,176.78752108477056,178.3717495544503,153.53636019863188,142.69915516488254,131.08818838372827,98.8290903934588,122.79454180970788,133.73473025858402,138.9394343830645,150.86367276186743,165.37977893215916,164.12913262223205
9,Burnley,141.4807033275479,29,339.46203142404556,61.761244758963585,309.93532966822386,89.26985524594785,224.76719468832016,,71.7284046113491,155.4627343080938,81.0896884649992,237.4430033378303,38.6661603115499,56.52521690353751,14.431825280189512,143.60236395150423,110.77056378126144,48.65477830171585,195.21156139671803,292.592865601182,241.58032862469554,71.6612957417965,223.88011068105698,181.89908601343635,55.89120164513588,166.91895322874188,239.31216225028038,34.89318955689669,61.738956719636924,122.88703471422195,139.97920341789722,90.92405186966062,182.82067673280835,152.15412721348306,155.37553449782231,143.2934801094234,134.8595309536904,106.8192013228933,106.8192013228933,97.2697714343667,95.29304304160178,100.23985559431215,68.7751514216264,94.86605160248776,134.21065971876183,172.06874360951284,160.07856557456157,178.93015672452748,201.13754134314755,177.91748138455054,156.9718293224772,156.593801593408,150.4657838959247,123.44225823568802,113.60691635248561,127.62158331461251,114.9557664214323
10,Spurs,140.1835222086259,29,113.66856750100851,194.14985291659832,26.58785954117775,434.3211870640516,42.02931895852088,,232.9588670283556,176.6970867291093,110.58415584266186,108.22402834892273,182.18874149024487,103.17407958209515,27.666719630360603,98.92054218798876,239.68399427831173,54.231526888906956,297.04277692362666,221.23407870531082,151.03971697390077,24.339256994426247,137.40125624462962,89.1617126762867,47.85038307309151,119.00841733440757,133.73453728854656,104.94440477341413,202.70053036510944,126.12380441278219,7.454203255474567,258.20053704082966,173.95260883495212,184.45736203963557,170.52974586064616,184.13577399527034,142.1136997329692,152.30449317023158,152.30449317023158,118.08913527056575,105.12637784704566,126.64301758632064,117.64426734298468,136.78660658188164,156.4632731024176,177.02543932634094,164.59522512741387,147.54810212180018,153.36979975303015,111.83773411127429,94.8001238827904,91.9159272685647,105.35011856506269,116.23333091847599,122.39367954122524,115.66098290495574,138.85966952269277
11,Arsenal,139.20539119280875,28,155.9735837392509,,133.56732837855816,302.25744768977165,148.02504405379295,,56.807662546634674,122.88198815658687,168.97787414491177,194.76689100265503,78.52138355374336,145.131741091609,89.02281476184724,28.160971589386463,179.18142899870872,96.53770793229342,202.56558619439602,161.79230064153668,103.52114010602236,103.14385052770376,157.15987961739302,94.97353145852685,124.10904876887797,171.6124501079321,256.6419705748558,100.61551239341499,193.21654047816992,98.55416603386402,116.72230176627636,113.30880708992481,153.25217576076588,155.41955749504268,155.41955749504268,165.61948459905884,128.33014057638744,127.84792341602345,127.84792341602345,133.21711545189223,117.43027935735881,119.13087183299164,102.7593413212647,123.43337509470682,126.21013501969476,128.62652257705727,141.12366906677684,137.45341083655754,137.19271475759646,124.11662518667679,125.75331676440935,151.2734551758816,150.85206548683345,156.8615089636296,157.45828139285246,156.22715689241886,146.5098830560843
12,Brighton,136.01512984083644,29,30.887377355247736,178.71207678690553,106.03482462465763,76.20101347565651,203.17888371646404,,208.72743427753448,130.02842385321856,153.32416091114285,162.78171073645353,106.283950060606,109.00675179436801,42.83712450414896,254.92718694731593,96.87864258885384,154.16371207684278,86.760070361197,78.47055271267891,114.51973803341389,265.49633480608463,115.27916193008424,132.3776539415121,270.7491980865598,61.626325640827424,123.73285442590714,168.72656717896461,86.10354717820881,100.50658211112022,240.56527884677052,85.55162642151117,133.95693503941098,150.48044278907278,146.24912347644567,155.70693782841167,160.72076059256992,145.02540527222058,145.02540527222058,117.37702030998965,138.19348082567254,128.78589443862438,127.34956132868926,124.09558137878776,119.00621486517291,130.9533171200504,132.7148417631785,135.7815949867169,132.15058529749513,162.81543991838893,160.00806873974702,161.5435881384959,145.41529353397587,140.55269107533,135.24084577026466,130.21019256363311,134.19774269374707
13,Sheffield Utd,134.06381568804915,28,119.7876375168562,,165.96976537257433,212.71774135529995,87.08170037716627,,77.49433545395732,119.3483461625874,202.9063906520605,63.46073895692825,123.34616966545582,204.9168810248375,165.93347936868668,188.79975825548172,71.28992918878794,109.17527806013823,147.29636758565903,178.06481886655092,92.79526975005865,258.3915807306766,125.3776917234063,89.57221042364836,35.3723575361073,119.36556315049529,50.80109164118767,188.0341999232769,104.649293795228,65.43179657310247,185.2886983193457,201.11774783581498,130.39992103974024,144.2530465622743,144.2530465622743,127.16820882633328,112.27294687802593,131.9121436526378,131.9121436526378,146.65200097175935,158.2272363205751,136.29115941002965,143.91024926056465,147.90194891393185,143.42660522088408,131.2369036177794,142.83554069697857,151.85016778608164,148.58298984666666,129.92898817174137,120.1457788857321,113.14674920092027,101.42051906635363,97.96578607832392,93.9423837698996,118.92844056710601,132.55380468132594
14,Watford,129.10223565674548,29,44.91610750555992,284.8258465528488,29.495568946003914,28.004757314920425,91.92479578778148,,183.77475291490555,239.1742993146181,235.14222502708435,107.05347210168839,327.1201099269092,59.6611075103283,159.29090082645416,101.16636641323566,157.132282666862,19.973292388021946,50.4004817456007,90.23841703310609,136.01748021319509,147.4396474659443,67.49028470367193,84.68514457345009,144.31777279824018,109.13392677903175,34.471843391656876,284.14942072704434,111.44526060670614,229.3475973419845,119.01815868914127,67.15351277962327,110.49030483700335,142.86667013851306,134.58606655088565,147.51238374349973,197.3649425121645,191.98766113258898,191.98766113258898,187.90701911784708,164.90569696761668,151.90403990757963,137.39067662196854,91.27073859175046,96.36695684554677,92.48805341000359,100.20026691878836,85.25993392492335,96.0452426224947,111.69812446460128,114.84737608892222,97.92310328533252,120.70806549551587,128.03389481268823,152.14430360744396,147.92770125592747,140.9309655893594
15,Aston Villa,127.41791498182076,28,67.24479384720325,,47.23502993583679,171.31280601024628,145.24512477219105,,110.02327613532543,102.04542279243469,112.5649966299534,174.82363423332572,61.09971012920141,65.41937366127968,92.10535828024149,97.25797353312373,124.14070721715687,86.08597982674837,133.9060753583908,269.85012367367744,47.3225012421608,74.1614842787385,107.49571174383163,311.94125805050135,417.96979345381266,91.42658859491348,171.5457061305642,140.50236213952303,30.35399615764618,85.59262081980705,165.06934687495232,63.95986396819353,107.18440891553958,114.73777604599793,114.73777604599793,136.00254342891276,117.63369411540528,104.32940226358672,104.32940226358672,101.34308262107272,100.54517441118757,102.47445950905482,87.68485044129193,99.81924464615683,133.8910363148898,126.42722680854301,122.57781193281214,119.80364602059126,157.44619239121675,204.79014540712038,175.05288956065974,195.7567570420603,206.81357001885772,193.95661742116013,156.23184454937777,114.08177011956771,109.50398268178105
16,West Ham,121.924688512909,29,163.24702240526676,278.68175338953733,63.82355261594057,8.958920277655126,130.77397048473358,87.83411057665944,116.25402253121136,168.43562442809343,90.47699719667435,232.82472603023052,78.21038914844394,79.6338165178895,,90.32402485609055,52.1846879273653,50.19769109785557,112.03361824154854,66.14491958171129,47.4280945956707,160.66447999328375,252.8930425643921,45.911236107349396,123.57729598879813,130.24743013083935,51.375963911414146,53.527862671762705,221.79715558886528,357.46687361970544,100.85639301687479,120.03029137849808,122.21988829163213,114.38772164595623,96.01336681904893,100.45560758250456,137.76657520793378,129.00597831855217,127.63926264209051,123.31759636290371,103.94244027944903,97.22922259631257,77.0973712981989,75.08645970374346,69.71883938337366,69.71883938337366,81.44224857290585,114.89364101241033,114.17923184732597,116.10317813853423,126.78692989672224,127.44490811601281,109.58880522909264,104.40615739983816,156.33209698523083,152.54527982324362,150.84242336452007
17,Bournemouth,120.71548764240639,29,129.54442352056503,159.03665907680988,175.7183700799942,113.22225909680128,275.97603127360344,,192.3148039728403,55.82978557795286,32.04473601654172,72.07091711461544,50.07255468517542,155.46280425041914,13.85316923260689,121.23965192586184,15.460845082998278,34.27986912429333,102.94913528487086,87.98350505530833,192.2173948958516,191.21257439255714,89.98541235923767,67.55542438477278,68.39671703055501,231.95664994418624,129.77269385010004,141.54214877635243,55.47256153076887,189.34531919658184,162.77734488248825,193.4553800150752,174.30209117010236,162.016318179667,140.8509976696223,123.57642217539251,113.05147144012153,92.96593360292415,92.96593360292415,63.22232781288525,74.12397220420341,71.35999038194616,65.06148238355915,73.87424581684172,62.627695950989924,92.35506689486404,104.01722063931327,116.43798185201983,121.9839077287664,116.22517135304709,140.2206955011934,129.81324532690147,121.53484105753402,115.78269925278921,136.0810150547574,151.81111969674626,145.39424137522778
18,Norwich,112.47156756962168,29,272.66232799738646,59.17157717049122,36.06457877904177,38.349491730332375,242.14834794402122,,142.47160535305738,176.1026805266738,27.64981370419264,172.5364975631237,26.80521234869957,145.1425390318036,126.535564661026,116.40837937593459,58.58045984059572,90.12892320752144,81.40800632536411,181.24526292085648,62.11274787783623,45.508215203881264,89.43504616618156,40.287323854863644,186.72962514683604,71.21291141957045,80.14276325702667,174.13002625107765,116.7403718456626,108.10821335762739,209.5719700679183,84.28497659042478,131.81132149572173,115.71804691726963,110.46441967288654,133.20973947023353,131.28569290662804,115.11805808792512,115.11805808792512,112.46205130591989,102.51300111413002,107.66810880353053,93.93351307759683,103.03397874037425,109.05109938854973,98.31396325801809,86.49726922934254,91.63970028360684,83.33276705816388,100.88637019507587,82.54764494486153,85.55264750805993,106.989616015926,111.54050362917285,122.8439852129668,126.65104269981384,128.82972022828957
19,Crystal Palace,95.80426694311458,29,85.61067096889019,217.15920716524124,175.55208019912243,86.77328051999211,97.00631676241755,,67.4589317291975,58.671582397073514,31.78624613210559,129.89600859582424,13.783705979585648,214.19482100754976,98.53680711239576,48.48585659638047,21.074623242020607,38.37624974548817,93.67318414151669,102.54813525825739,47.948849201202385,44.29097082465887,177.8916697949171,63.335989601910114,206.82007716968656,180.49684893339872,98.57299840077758,57.73233361542225,141.5967620909214,67.69933793693781,24.191171675920486,87.15902455151081,121.59341455747683,117.10356646217406,86.20807295665145,78.59872768943508,66.43379859936734,85.96521597355604,85.96521597355604,91.14486187075575,89.44724090397358,87.66197042229275,72.40867728057007,85.72359030755858,67.11580934934318,58.68448303081095,57.985335402190685,84.12150982767344,88.28146647041042,107.1392819751054,120.13073425429563,128.56809245422482,130.8083195860187,124.75916830201943,125.48639302452405,95.04824210889637,79.49193804524839
20,Newcastle,90.4834359370429,29,324.3156397715211,112.04589549452066,16.449468676000834,116.66211616247892,98.86647146195173,,59.45236850529909,89.29878529161215,18.44954565167427,78.01178880035879,163.21075409650803,105.01763895154,71.4367656968534,108.72584916651249,111.92936785519123,53.37753742933273,20.825158059597015,69.78403460234404,237.32647001743317,193.19172017276287,60.48348490148783,19.708229787647724,65.02957809716463,5.4134017787873745,109.8068873398006,29.10725362598896,104.37609208747745,51.42799839377403,92.23426710814238,38.05507319048047,121.29866001196206,82.12918426531057,66.52979262483616,76.79017931222916,84.54828563456734,85.57348021616538,85.57348021616538,87.5708797480911,90.80872372724116,106.38869409449399,102.28298553265631,78.55205285983781,72.67978546830516,100.32806952173512,114.40571468944351,105.83140086382627,100.2198495902121,107.58725292980671,96.8588141258806,75.60555034627517,48.25813925514618,55.57357378614446,60.86020188716551,65.39431672232847,70.83459529094398
